연도,날짜,지점,관측값
2019,409,서울,17.4
2019,410,서울,5.6
2019,414,서울,1.7
2019,420,서울,1.2
2019,421,서울,0.3
2019,424,서울,4.1
2019,425,서울,11.3
2019,426,서울,4.9
2019,519,서울,22
2019,520,서울,8.7
2019,527,서울,7.1
2019,606,서울,7.5
2019,607,서울,35.3
2019,609,서울,2.5
2019,610,서울,9.5
2019,615,서울,2.1
2019,618,서울,13.8
2019,619,서울,0.2
2019,621,서울,0.2
2019,627,서울,1.4
2019,629,서울,1.5
2019,710,서울,8.5
2019,711,서울,2.9
2019,715,서울,7.7
2019,716,서울,6.3
2019,717,서울,0.7
2019,720,서울,1.1
2019,721,서울,6.2
2019,722,서울,0.1
2019,724,서울,1
2019,725,서울,9.7
2019,726,서울,60
2019,727,서울,0.6
2019,728,서울,25.6
2019,729,서울,0.5
2019,730,서울,1.2
2019,731,서울,62.3
2019,801,서울,26.9
2019,803,서울,3
2019,804,서울,8.6
2019,807,서울,8
2019,811,서울,6.7
2019,812,서울,56.2
2019,813,서울,6.4
2019,815,서울,16.2
2019,816,서울,0.1
2019,821,서울,1.3
2019,827,서울,20
2019,829,서울,36.9
2019,830,서울,0.2
2019,904,서울,22.7
2019,905,서울,36.4
2019,906,서울,2.4
2019,907,서울,2.8
2019,910,서울,63.2
2019,911,서울,7.6
2019,912,서울,3.9
2019,913,서울,0.1
2019,914,서울,0.3
2019,922,서울,0.4
2019,1002,서울,23.1
2019,1003,서울,4.6
2019,1005,서울,0.6
2019,1007,서울,25.4
2019,1028,서울,1.7
2019,1029,서울,0.1
2019,1110,서울,11.8
2019,1111,서울,1.1
2019,1113,서울,7.5
2019,1115,서울,18.8
2019,1117,서울,21.1
2019,1118,서울,14.7
2019,1124,서울,3.8
2019,1201,서울,3.3
2019,1203,서울,0.6
2019,1207,서울,0.1
2019,1210,서울,1.7
2019,1211,서울,0.2
2019,1213,서울,1
2019,1217,서울,9.8
2019,1221,서울,0.6
2019,1222,서울,0.3
2019,1223,서울,2.9
2019,1226,서울,0.3
2019,1229,서울,1.4
2019,1230,서울,0.4
2020,101,서울,0.1
2020,106,서울,1.8
2020,107,서울,46.3
2020,108,서울,11.6
2020,119,서울,0.6
2020,127,서울,0.1
2020,204,서울,1.7
2020,212,서울,6.7
2020,215,서울,2
2020,216,서울,13.4
2020,217,서울,1
2020,221,서울,4.2
2020,222,서울,3.1
2020,225,서울,16.6
2020,228,서울,3.9
2020,229,서울,0.5
2020,301,서울,0.2
2020,310,서울,11.8
2020,313,서울,0.5
2020,326,서울,1.8
2020,327,서울,2
2020,417,서울,6.5
2020,419,서울,10.3
2020,420,서울,0.1
2020,508,서울,2.3
2020,509,서울,24.4
2020,510,서울,1.3
2020,511,서울,3.4
2020,512,서울,0.7
2020,515,서울,12
2020,516,서울,2.5
2020,518,서울,29.8
2020,519,서울,19
2020,524,서울,14.5
2020,526,서울,1.5
2020,531,서울,1
2020,601,서울,0.4
2020,602,서울,2
2020,604,서울,0.2
2020,610,서울,6.2
2020,614,서울,1.1
2020,619,서울,0.1
2020,624,서울,37.6
2020,625,서울,13.3
2020,626,서울,2.1
2020,629,서울,11.9
2020,630,서울,64.7
2020,703,서울,0.1
2020,704,서울,1.6
2020,710,서울,2.2
2020,712,서울,2.9
2020,713,서울,47.6
2020,714,서울,11.5
2020,719,서울,29.1
2020,720,서울,3.6
2020,722,서울,11.5
2020,723,서울,103.1
2020,724,서울,2.9
2020,727,서울,2.2
2020,728,서울,0.4
2020,729,서울,50.1
2020,730,서울,0.1
2020,731,서울,1.5
2020,801,서울,39.1
2020,802,서울,31.4
2020,803,서울,102.6
2020,804,서울,3.9
2020,805,서울,18.5
2020,806,서울,75.7
2020,808,서울,19.1
2020,809,서울,50.3
2020,810,서울,44.6
2020,811,서울,97
2020,814,서울,0.4
2020,815,서울,69
2020,821,서울,2.5
2020,822,서울,42.6
2020,826,서울,0.6
2020,827,서울,8.7
2020,828,서울,13.6
2020,829,서울,13.6
2020,830,서울,42.5
2020,902,서울,33.3
2020,903,서울,29.8
2020,906,서울,6.4
2020,907,서울,61
2020,909,서울,1.3
2020,910,서울,3.9
2020,911,서울,1.2
2020,912,서울,5.7
2020,916,서울,0.3
2020,919,서울,0.3
2020,930,서울,38.3
2020,1101,서울,13.6
2020,1102,서울,1.7
2020,1103,서울,0.5
2020,1107,서울,0.1
2020,1117,서울,0.1
2020,1118,서울,12.2
2020,1119,서울,86.9
2020,1121,서울,0.2
2020,1122,서울,4.8
2020,1213,서울,2.9
2020,1218,서울,0.2
2020,1228,서울,1.3
2020,1229,서울,0.2
2021,106,서울,2.3
2021,112,서울,2.6
2021,115,서울,0.2
2021,118,서울,0.3
2021,121,서울,9.2
2021,122,서울,0.1
2021,126,서울,1.7
2021,128,서울,2
2021,130,서울,0.5
2021,201,서울,0.7
2021,203,서울,3.4
2021,204,서울,0.1
2021,215,서울,1.4
2021,216,서울,1.5
2021,301,서울,67.5
2021,302,서울,0.1
2021,315,서울,1.7
2021,316,서울,1.3
2021,320,서울,5.1
2021,321,서울,0.3
2021,327,서울,25.5
2021,328,서울,9.2
2021,329,서울,0.2
2021,403,서울,56.2
2021,404,서울,0.6
